fra;sg;cage_scol;cl_age18;pop;P;T;Ti;Tp;Td
FR;2021-02-26-2021-03-04;[00-03);02;2153747,25;759,00;10934,00;35,24;6,94;507,67
FR;2021-02-27-2021-03-05;[00-03);02;2153747,25;765,00;10971,00;35,52;6,97;509,39
FR;2021-02-28-2021-03-06;[00-03);02;2153747,25;763,00;10939,00;35,43;6,98;507,91
FR;2021-03-01-2021-03-07;[00-03);02;2153747,25;772,00;11004,00;35,84;7,02;510,92
FR;2021-03-02-2021-03-08;[00-03);02;2153747,25;796,00;11133,00;36,96;7,15;516,91
FR;2021-03-03-2021-03-09;[00-03);02;2153747,25;819,00;11317,00;38,03;7,24;525,46
FR;2021-03-04-2021-03-10;[00-03);02;2153747,25;823,00;11472,00;38,21;7,17;532,65
FR;2021-03-05-2021-03-11;[00-03);02;2153747,25;853,00;11750,00;39,61;7,26;545,56
FR;2021-03-06-2021-03-12;[00-03);02;2153747,25;890,00;12091,00;41,32;7,36;561,39
FR;2021-03-07-2021-03-13;[00-03);02;2153747,25;932,00;12342,00;43,27;7,55;573,05
FR;2021-03-08-2021-03-14;[00-03);02;2153747,25;943,00;12467,00;43,78;7,56;578,85
FR;2021-03-09-2021-03-15;[00-03);02;2153747,25;1013,00;12900,00;47,03;7,85;598,96
FR;2021-03-10-2021-03-16;[00-03);02;2153747,25;1051,00;13337,00;48,80;7,88;619,25
FR;2021-03-11-2021-03-17;[00-03);02;2153747,25;1097,00;13792,00;50,93;7,95;640,37
FR;2021-03-12-2021-03-18;[00-03);02;2153747,25;1180,00;14479,00;54,79;8,15;672,27
FR;2021-03-13-2021-03-19;[00-03);02;2153747,25;1228,00;15306,00;57,02;8,02;710,67
FR;2021-03-14-2021-03-20;[00-03);02;2153747,25;1243,00;15642,00;57,71;7,95;726,27
FR;2021-03-15-2021-03-21;[00-03);02;2153747,25;1249,00;15728,00;57,99;7,94;730,26
FR;2021-03-16-2021-03-22;[00-03);02;2153747,25;1281,00;16513,00;59,48;7,76;766,71
FR;2021-03-17-2021-03-23;[00-03);02;2153747,25;1327,00;17311,00;61,61;7,67;803,76
FR;2021-03-18-2021-03-24;[00-03);02;2153747,25;1421,00;18016,00;65,98;7,89;836,50
FR;2021-03-19-2021-03-25;[00-03);02;2153747,25;1455,00;18803,00;67,56;7,74;873,04
FR;2021-03-20-2021-03-26;[00-03);02;2153747,25;1492,00;19451,00;69,27;7,67;903,12
FR;2021-03-21-2021-03-27;[00-03);02;2153747,25;1517,00;19962,00;70,44;7,60;926,85
FR;2021-03-22-2021-03-28;[00-03);02;2153747,25;1521,00;20130,00;70,62;7,56;934,65
FR;2021-03-23-2021-03-29;[00-03);02;2153747,25;1566,00;20981,00;72,71;7,46;974,16
FR;2021-03-24-2021-03-30;[00-03);02;2153747,25;1622,00;21826,00;75,31;7,43;1013,40
FR;2021-03-25-2021-03-31;[00-03);02;2153747,25;1620,00;22710,00;75,22;7,13;1054,44
FR;2021-03-26-2021-04-01;[00-03);02;2153747,25;1604,00;23367,00;74,47;6,86;1084,95
FR;2021-03-27-2021-04-02;[00-03);02;2153747,25;1600,00;23699,00;74,29;6,75;1100,36
FR;2021-03-28-2021-04-03;[00-03);02;2153747,25;1577,00;24154,00;73,22;6,53;1121,49
FR;2021-03-29-2021-04-04;[00-03);02;2153747,25;1598,00;24109,00;74,20;6,63;1119,40
FR;2021-03-30-2021-04-05;[00-03);02;2153747,25;1374,00;21040,00;63,80;6,53;976,90
FR;2021-03-31-2021-04-06;[00-03);02;2153747,25;1396,00;20476,00;64,82;6,82;950,72
FR;2021-04-01-2021-04-07;[00-03);02;2153747,25;1379,00;19709,00;64,03;7,00;915,10
FR;2021-04-02-2021-04-08;[00-03);02;2153747,25;1378,00;18580,00;63,98;7,42;862,68
FR;2021-04-03-2021-04-09;[00-03);02;2153747,25;1387,00;17631,00;64,40;7,87;818,62
FR;2021-04-04-2021-04-10;[00-03);02;2153747,25;1407,00;16888,00;65,33;8,33;784,12
FR;2021-04-05-2021-04-11;[00-03);02;2153747,25;1380,00;16840,00;64,07;8,19;781,89
