epci;sg;cage65;cl_age65;pop;P;T;Ti;Tp;Td
200023414;2020-11-30-2020-12-06;[00-65);64;387225,75;290,11;5588,44;74,92;5,19;1443,20
200023414;2020-12-01-2020-12-07;[00-65);64;387225,75;292,65;5595,43;75,58;5,23;1445,00
200023414;2020-12-02-2020-12-08;[00-65);64;387225,75;261,39;5744,02;67,50;4,55;1483,38
200023414;2020-12-03-2020-12-09;[00-65);64;387225,75;264,27;5737,05;68,25;4,61;1481,58
200023414;2020-12-04-2020-12-10;[00-65);64;387225,75;264,77;5974,91;68,38;4,43;1543,00
200023414;2020-12-05-2020-12-11;[00-65);64;387225,75;272,42;6240,99;70,35;4,36;1611,72
200023414;2020-12-06-2020-12-12;[00-65);64;387225,75;269,81;6377,63;69,68;4,23;1647,00
200023414;2020-12-07-2020-12-13;[00-65);64;387225,75;262,27;6360,02;67,73;4,12;1642,46
200023414;2020-12-08-2020-12-14;[00-65);64;387225,75;274,71;6618,00;70,94;4,15;1709,08
200023414;2020-12-09-2020-12-15;[00-65);64;387225,75;296,39;6746,07;76,54;4,39;1742,15
200023414;2020-12-10-2020-12-16;[00-65);64;387225,75;330,18;7215,52;85,27;4,58;1863,39
200023414;2020-12-11-2020-12-17;[00-65);64;387225,75;334,41;7793,10;86,36;4,29;2012,55
200023414;2020-12-12-2020-12-18;[00-65);64;387225,75;357,36;8973,71;92,29;3,98;2317,44
200023414;2020-12-13-2020-12-19;[00-65);64;387225,75;366,93;9909,84;94,76;3,70;2559,19
200023414;2020-12-14-2020-12-20;[00-65);64;387225,75;366,91;10110,76;94,75;3,63;2611,08
200023414;2020-12-15-2020-12-21;[00-65);64;387225,75;388,05;12174,62;100,21;3,19;3144,06
200023414;2020-12-16-2020-12-22;[00-65);64;387225,75;385,12;15019,10;99,46;2,56;3878,64
200023414;2020-12-17-2020-12-23;[00-65);64;387225,75;390,59;17999,34;100,87;2,17;4648,28
200023414;2020-12-18-2020-12-24;[00-65);64;387225,75;405,10;19524,58;104,62;2,07;5042,17
200023414;2020-12-19-2020-12-25;[00-65);64;387225,75;348,64;17634,94;90,04;1,98;4554,18
200023414;2020-12-20-2020-12-26;[00-65);64;387225,75;355,24;17407,08;91,74;2,04;4495,33
200023414;2020-12-21-2020-12-27;[00-65);64;387225,75;355,25;17260,52;91,74;2,06;4457,48
200023414;2020-12-22-2020-12-28;[00-65);64;387225,75;367,20;15749,39;94,83;2,33;4067,24
200023414;2020-12-23-2020-12-29;[00-65);64;387225,75;385,37;13495,44;99,52;2,86;3485,16
200023414;2020-12-24-2020-12-30;[00-65);64;387225,75;374,64;11312,92;96,75;3,31;2921,53
200023414;2020-12-25-2020-12-31;[00-65);64;387225,75;387,27;10271,56;100,01;3,77;2652,60
200023414;2020-12-26-2021-01-01;[00-65);64;387225,75;380,57;10016,59;98,28;3,80;2586,76
200023414;2020-12-27-2021-01-02;[00-65);64;387225,75;386,66;9712,29;99,85;3,98;2508,17
200023414;2020-12-28-2021-01-03;[00-65);64;387225,75;395,66;9743,49;102,18;4,06;2516,23
200023414;2020-12-29-2021-01-04;[00-65);64;387225,75;419,44;9895,81;108,32;4,24;2555,57
200023414;2020-12-30-2021-01-05;[00-65);64;387225,75;457,17;9941,07;118,06;4,60;2567,25
200023414;2020-12-31-2021-01-06;[00-65);64;387225,75;468,91;9333,44;121,09;5,02;2410,34
200023414;2021-01-01-2021-01-07;[00-65);64;387225,75;478,06;9144,44;123,46;5,23;2361,53
200023414;2021-01-02-2021-01-08;[00-65);64;387225,75;562,06;10747,56;145,15;5,23;2775,53
200023414;2021-01-03-2021-01-09;[00-65);64;387225,75;566,06;10905,71;146,18;5,19;2816,37
200023414;2021-01-04-2021-01-10;[00-65);64;387225,75;568,06;10826,78;146,70;5,25;2795,99
200023414;2021-01-05-2021-01-11;[00-65);64;387225,75;546,79;10525,99;141,21;5,19;2718,31
200023414;2021-01-06-2021-01-12;[00-65);64;387225,75;492,03;10290,19;127,07;4,78;2657,41
200023414;2021-01-07-2021-01-13;[00-65);64;387225,75;491,04;10122,12;126,81;4,85;2614,01
200023414;2021-01-08-2021-01-14;[00-65);64;387225,75;504,04;10266,63;130,17;4,91;2651,33
200023414;2021-01-09-2021-01-15;[00-65);64;387225,75;501,90;10125,07;129,61;4,96;2614,77
200023414;2021-01-10-2021-01-16;[00-65);64;387225,75;501,73;10004,36;129,57;5,02;2583,60
200023414;2021-01-11-2021-01-17;[00-65);64;387225,75;506,72;10100,05;130,86;5,02;2608,31
200023414;2021-01-12-2021-01-18;[00-65);64;387225,75;570,98;9946,75;147,46;5,74;2568,72
200023414;2021-01-13-2021-01-19;[00-65);64;387225,75;596,94;9836,90;154,16;6,07;2540,35
200023414;2021-01-14-2021-01-20;[00-65);64;387225,75;619,11;9880,47;159,88;6,27;2551,60
200023414;2021-01-15-2021-01-21;[00-65);64;387225,75;637,83;9604,05;164,72;6,64;2480,22
